registration_series,registration_number,organization_name,expiry_date,fee_amount,bgmea_id,bgmea_address,bgmea_phone,rsc_factory_id,rsc_address,rsc_buyers,github_buyers,github_source,match_score,match_confidence
Ba: Bo:,10,Ahmed Specialised Textile Mill.,22-04-1987,3500,,,,,,,,,0,none
Ba: Bo:,14,M/S Yusuf Textile Mills.,19-08-1989,2500,,,,,,,,,0,none
Ba: Bo:,17,A huabahan textile  & penting,25-09-2021,4500,,,,,,,,,0,none
Ba: Bo:,25,Rahim Specialijed Textile,09-02-1977,2500,,,,,,,,,0,none
Ba: Bo:,36,Sinha Textiles Ltd,26-01-2000,5500,,,,,,,,,0,none
Ba: Bo:,39,Chandpur Textile Mills Ltd.,02-06-2003,4500,,,,,,,,,0,none
EP:,13,Ahmed Bawani Textile Mills Ltd.,30-11--0001,6500,,,,,,,,,0,none
EBL:,17,A Shubhan Textile.,27-09-2022,5500/-,,,,,,,,,0,none
EBL:,22,Pahartali Textile & Hosiery Mills Ltd.,28-06-1998,3500,,,,,,,,,0,none
EBL:,28,Monno Textile Mills Ltd.,30-11--0001,3500,,,,,,,,,0,none
Ba: Bo:,82,Tayeh Ashrat.Textile ills Ltd.,25-12-1988,2500,,,,,,,,,0,none
Ba: Bo:,81,Chillagong Textile Mills Ctd.,24-05-1998,5000,,,,,,,,,0,none
Ba: Bo:,94,Ena Textile,23-09-2021,2500,,,,,,,,,0,none
Ba: Bo:,98,Saleha Garments Ltd.,12-02-2022,6500/-,,,,,,,,,0,none
Ba: Bo:,131,Bahar Dyeing Works,03-07-2003,4500,,,,,,,,,0,none
Ba: Bo:,144,Chittagong Drying Finishing & Printing Mills,27-06-2002,7000,,,,,,,,,0,none
Ba: Bo:,156,Ashulia Apparels Ltd.,30-11--0001,2500,,,,,,,,,0,none
Ba: Bo:,168,B R Enterprise Dyeing & Finishing Mills,02-02-2017,4500,,,,,,,,,0,none
Ba: Bo:,180,Monno Textile Mills.,06-03-1997,2500,,,,,,,,,0,none
Ba: Bo:,203,Sundarbon Textile Mills.,23-11-1994,3500,,,,,,,,,0,none
Ba: Bo:,209,Sinha Apparels Ltd.,12-07-1998,4500,,,,,,,,,0,none
Ba: Bo:,210,Parmeta Fashion Ltd.,09-06-2021,5500,,,,,,,,,0,none
Ba: Bo:,228,Rafsan Dyeing,09-08-2018,5000,,,,,,,,,0,none
Ba: Bo:,236,Azmiri Textile Procesing Mills.,09-12-2015,2500,,,,,,,,,0,none
Ba: Bo:,249,Ashraf Textile Mills Ltd.,28-01-2007,3500,,,,,,,,,0,none
Ba: Bo:,251,Silvetex Dyeinj & Finesing.,10-01-1986,3500,,,,,,,,,0,none
Ba: Bo:,256,Syntex Printing Finishing Mills Ltd.,12-03-1998,5000,,,,,,,,,0,none
Ba: Bo:,262,R.K. Textile & Processing Plant.,12-06-1996,3500,,,,,,,,,0,none
Ba: Bo:,260,Rokeya Calendr & Textile Mills.,23-10-2012,3500,,,,,,,,,0,none
Ba: Bo:,278,Caretex (Finishing Mills)Ltd.,07-09-2003,4500,,,,,,,,,0,none
Ba: Bo:,285,Atlantic Washing Plant Cod.,23-03-1996,4500,,,,,,,,,0,none
Ba: Bo:,286,Comiopoliton Textiles Ltd.,13-08-2001,4500,,,,,,,,,0,none
